timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 05:56:37,"$115,255.78",$2.29T,$58.33B,19.94M BTC,2.43% (24h),82%,18%
2025-10-27 06:00:00,"$115,261.04",$2.29T,$59.23B,19.94M BTC,2.48% (24h),82%,18%
2025-10-27 06:29:12,"$115,427.66",$2.3T,$59.43B,19.94M BTC,2.73% (24h),82%,18%
2025-10-27 06:48:00,"$115,419.48",$2.3T,$59.48B,19.94M BTC,2.65% (24h),82%,18%
2025-10-27 06:57:58,"$115,405.95",$2.3T,$59.6B,19.94M BTC,2.61% (24h),82%,18%
2025-10-27 07:18:04,"$115,424.99",$2.3T,$59.51B,19.94M BTC,2.47% (24h),82%,18%
2025-10-27 07:33:21,"$115,378.91",$2.3T,$58.7B,19.94M BTC,2.33% (24h),82%,18%
2025-10-27 07:46:51,"$115,422.45",$2.3T,$59.12B,19.94M BTC,1.84% (24h),82%,18%
2025-10-27 07:56:44,"$115,382.86",$2.3T,$57.92B,19.94M BTC,1.88% (24h),82%,18%
2025-10-27 08:39:03,"$115,127.85",$2.29T,$57.37B,19.94M BTC,1.35% (24h),82%,18%
2025-10-27 09:21:14,"$115,175.58",$2.29T,$56.92B,19.94M BTC,1.47% (24h),82%,18%
2025-10-27 09:48:37,"$114,870.30",$2.29T,$57.27B,19.94M BTC,0.86% (24h),82%,18%
2025-10-27 09:58:58,"$115,253.44",$2.29T,$57.98B,19.94M BTC,1.35% (24h),82%,18%
2025-10-27 10:23:54,"$114,589.24",$2.28T,$57.54B,19.94M BTC,0.77% (24h),82%,18%
2025-10-27 10:44:53,"$114,869.94",$2.29T,$57.94B,19.94M BTC,0.9% (24h),82%,18%
2025-10-27 10:56:24,"$114,796.41",$2.28T,$58.2B,19.94M BTC,0.99% (24h),82%,18%
2025-10-27 11:21:05,"$115,043.41",$2.29T,$58.24B,19.94M BTC,1.34% (24h),82%,18%
2025-10-27 11:37:23,"$114,966.33",$2.29T,$60.82B,19.94M BTC,1.26% (24h),82%,18%
2025-10-27 11:48:31,"$114,955.45",$2.29T,$60.96B,19.94M BTC,1.26% (24h),82%,18%
2025-10-27 11:58:26,"$114,962.39",$2.29T,$61.08B,19.94M BTC,1.13% (24h),82%,18%
2025-10-27 12:30:08,"$115,316.61",$2.29T,$60.32B,19.94M BTC,1.68% (24h),82%,18%
2025-10-27 12:51:21,"$115,435.53",$2.3T,$60.88B,19.94M BTC,1.51% (24h),82%,18%
